# nstg=2468		 ndv=1024		 nctl=153

#  1:j            2:Mr         3:dtprv           4:dMr             5:n             6:p             7:d             8:t           9:he3          10:he4          11:li6          12:li7          13:be7          14:be9           15:b8          16:b10          17:b11          18:c12          19:c13          20:n13          21:n14          22:n15          23:o14          24:o15          25:o16          26:o17          27:o18          28:f17          29:f18          30:f19         31:ne18         32:ne19         33:ne20         34:ne21         35:ne22         36:na21         37:na22         38:na23         39:mg22         40:mg23         41:mg24         42:mg25         43:mg26         44:al25         45:al-6         46:al*6         47:al27         48:si26         49:si27         50:si28         51:si29         52:si30         53:si31         54:si32          55:p29          56:p30          57:p31          58:p32          59:p33          60:s30          61:s31          62:s32          63:s33          64:s34          65:s35          66:s36         67:cl33         68:cl34         69:cl35         70:cl36         71:cl37         72:ar34         73:ar35         74:ar36         75:ar37         76:ar38         77:ar39         78:ar40          79:k37          80:k38          81:k39          82:k40          83:k41         84:ca38         85:ca39         86:ca40         87:ca41         88:ca42         89:ca43         90:sc41         91:sc42         92:sc43         93:sc44         94:sc45         95:ti43         96:ti44         97:ti45         98:ti46         99:ti47        100:ti48         101:v45         102:v46         103:v47         104:v48         105:v49         106:v50         107:v51        108:cr47        109:cr48        110:cr49        111:cr50        112:cr51        113:cr52        114:cr53        115:cr54        116:mn49        117:mn50        118:mn51        119:mn52        120:mn53        121:mn54        122:mn55        123:fe51        124:fe52        125:fe53        126:fe54        127:fe55        128:fe56        129:fe57        130:fe58        131:co53        132:co54        133:co55        134:co56        135:co57        136:co58        137:co59        138:ni55        139:ni56        140:ni57        141:ni58        142:ni59        143:ni60        144:ni61        145:ni62        146:cu57        147:cu58        148:cu59        149:cu60        150:cu61        151:cu62        152:cu63        153:zn60        154:zn61        155:zn62        156:zn63        157:zn64
     1    2.755923e-06    5.381587e-02    2.755923e-06    8.082710e-04    3.047862e-07    7.319641e-10    3.888995e-10    4.085819e-14    6.114924e-04    4.772090e-14    1.715011e-13    4.352465e-18    6.049131e-13    2.089030e-26    3.212017e-16    4.652849e-13    3.146303e-10    2.378882e-11    6.236083e-17    5.240546e-14    3.113783e-11    2.994666e-22    3.330543e-17    5.913663e-11    3.396489e-12    4.653924e-12    3.969947e-18    1.836176e-16    1.031010e-13    2.179278e-24    4.812889e-20    2.107241e-13    1.008165e-12    6.898464e-11    3.050143e-19    5.215601e-16    4.096362e-12    2.565895e-24    5.116121e-19    1.645525e-12    1.649695e-11    3.301303e-09    1.491297e-18    4.033356e-15    2.475403e-16    1.036264e-10    1.125057e-23    3.901783e-18    2.370506e-11    7.938272e-10    1.800898e-07    4.346735e-07    4.971809e-06    2.354304e-17    8.351607e-14    4.373811e-10    9.038819e-09    5.668419e-07    7.308075e-23    5.908224e-18    2.744224e-12    2.237638e-10    1.088078e-07    4.715222e-07    1.644459e-05    2.355610e-18    1.196211e-14    9.871966e-11    2.970781e-09    4.717442e-07    6.351667e-24    5.759953e-19    2.118756e-13    2.113516e-11    1.922733e-08    9.103135e-08    2.402751e-06    9.191114e-20    1.037513e-15    1.657255e-11    3.663467e-10    3.057492e-08    1.877232e-25    3.678916e-20    2.637049e-14    2.401618e-12    1.073576e-09    5.674451e-08    5.825403e-21    1.789239e-17    2.773810e-13    6.404436e-11    6.546476e-08    1.855815e-22    3.158786e-16    3.199648e-13    1.205482e-09    2.166705e-07    9.935281e-05    1.904234e-22    4.749757e-18    3.460931e-13    2.827985e-10    4.612576e-07    4.917314e-05    1.721545e-02    7.748145e-23    1.638610e-16    4.398588e-13    2.890639e-09    7.927235e-07    6.227533e-04    1.602870e-02    5.932294e-01    1.151838e-22    5.731770e-18    5.154541e-13    6.084656e-10    1.455848e-06    1.353453e-04    1.570363e-02    7.713211e-23    1.033630e-16    3.490215e-13    3.085005e-09    8.814646e-07    3.880656e-04    9.049925e-03    3.102618e-01    2.287461e-23    3.067220e-18    3.548524e-13    2.653727e-10    2.280427e-07    1.719077e-05    1.823584e-03    2.094264e-23    3.972615e-17    6.968786e-14    1.666974e-10    4.109926e-08    1.296653e-05    5.888601e-04    3.329517e-02    2.705999e-24    7.632283e-20    1.284254e-15    1.138463e-12    1.205199e-09    1.596062e-07    2.797541e-05    8.704252e-21    2.598835e-17    9.205492e-14    3.433966e-11    1.772389e-08
     2    8.087644e-06    6.685715e-02    5.331721e-06    8.083173e-04    3.045058e-07    7.312808e-10    3.886392e-10    4.078869e-14    6.112164e-04    4.764827e-14    1.712978e-13    4.342535e-18    6.041866e-13    2.081893e-26    3.205918e-16    4.646933e-13    3.142135e-10    2.376139e-11    6.221433e-17    5.231173e-14    3.110024e-11    2.985132e-22    3.322411e-17    5.904616e-11    3.391679e-12    4.649007e-12    3.959421e-18    1.832078e-16    1.029382e-13    2.171492e-24    4.798914e-20    2.103162e-13    1.006512e-12    6.891464e-11    3.041193e-19    5.203807e-16    4.089922e-12    2.556527e-24    5.101172e-19    1.642220e-12    1.647109e-11    3.298034e-09    1.486953e-18    4.024133e-15    2.469705e-16    1.034643e-10    1.120870e-23    3.890189e-18    2.366010e-11    7.926177e-10    1.799208e-07    4.343968e-07    4.971015e-06    2.347426e-17    8.332341e-14    4.366794e-10    9.027830e-09    5.664561e-07    7.280511e-23    5.890363e-18    2.738331e-12    2.233787e-10    1.086893e-07    4.711623e-07    1.644085e-05    2.348159e-18    1.193171e-14    9.854073e-11    2.966611e-09    4.713586e-07    6.326209e-24    5.740979e-19    2.113679e-13    2.109365e-11    1.920249e-08    9.093994e-08    2.401500e-06    9.159394e-20    1.034650e-15    1.653924e-11    3.657408e-10    3.053978e-08    1.869170e-25    3.665939e-20    2.630182e-14    2.396338e-12    1.071845e-09    5.667611e-08    5.803782e-21    1.783644e-17    2.767064e-13    6.392230e-11    6.538017e-08    1.848473e-22    3.149268e-16    3.191675e-13    1.203355e-09    2.163887e-07    9.928355e-05    1.896596e-22    4.733891e-18    3.452081e-13    2.822306e-10    4.606236e-07    4.912915e-05    1.721045e-02    7.716005e-23    1.633408e-16    4.387148e-13    2.885147e-09    7.915980e-07    6.222679e-04    1.602250e-02    5.932975e-01    1.147033e-22    5.711854e-18    5.140718e-13    6.071673e-10    1.453726e-06    1.352073e-04    1.569615e-02    7.680215e-23    1.030172e-16    3.480517e-13    3.078680e-09    8.800840e-07    3.876879e-04    9.044603e-03    3.102325e-01    2.277478e-23    3.056021e-18    3.538533e-13    2.647560e-10    2.276522e-07    1.716877e-05    1.822215e-03    2.084899e-23    3.958762e-17    6.948075e-14    1.663080e-10    4.102247e-08    1.295002e-05    5.883389e-04    3.328374e-02    2.693463e-24    7.601857e-20    1.280049e-15    1.135336e-12    1.202631e-09    1.593394e-07    2.794403e-05    8.668756e-21    2.589599e-17    9.179183e-14    3.425747e-11    1.769266e-08
     3    1.837945e-05    2.618421e-02    1.029180e-05    8.076439e-04    3.046361e-07    7.308617e-10    3.881344e-10    4.078483e-14    6.113101e-04    4.761698e-14    1.710733e-13    4.341780e-18    6.035340e-13    2.081753e-26    3.204199e-16    4.642718e-13    3.143000e-10    2.374851e-11    6.224501e-17    5.231466e-14    3.108927e-11    2.987807e-22    3.324552e-17    5.907917e-11    3.390605e-12    4.644679e-12    3.962093e-18    1.832298e-16    1.028991e-13    2.173670e-24    4.801871e-20    2.104505e-13    1.006474e-12    6.887317e-11    3.043914e-19    5.205850e-16    4.090319e-12    2.559717e-24    5.106455e-19    1.643982e-12    1.647644e-11    3.297800e-09    1.488745e-18    4.027595e-15    2.471790e-16    1.035236e-10    1.122723e-23    3.895822e-18    2.369346e-11    7.933098e-10    1.800027e-07    4.342874e-07    4.967107e-06    2.351416e-17    8.343268e-14    4.371166e-10    9.031253e-09    5.664039e-07    7.295593e-23    5.900932e-18    2.742969e-12    2.236302e-10    1.087727e-07    4.712020e-07    1.643460e-05    2.352639e-18    1.195008e-14    9.866442e-11    2.968575e-09    4.714713e-07    6.340715e-24    5.752466e-19    2.117691e-13    2.112187e-11    1.922221e-08    9.096879e-08    2.401027e-06    9.178388e-20    1.036493e-15    1.656451e-11    3.660628e-10    3.055120e-08    1.873781e-25    3.674124e-20    2.635847e-14    2.400103e-12    1.073107e-09    5.670956e-08    5.816983e-21    1.787004e-17    2.771435e-13    6.399216e-11    6.542713e-08    1.852675e-22    3.156207e-16    3.197217e-13    1.205149e-09    2.165964e-07    9.934005e-05    1.901231e-22    4.744032e-18    3.458741e-13    2.826496e-10    4.611412e-07    4.915911e-05    1.721423e-02    7.735786e-23    1.637561e-16    4.396460e-13    2.890421e-09    7.926387e-07    6.228655e-04    1.602826e-02    5.932192e-01    1.150218e-22    5.726020e-18    5.152426e-13    6.082797e-10    1.455926e-06    1.353368e-04    1.570410e-02    7.702541e-23    1.033102e-16    3.488929e-13    3.085299e-09    8.815278e-07    3.881683e-04    9.050314e-03    3.102732e-01    2.284439e-23    3.064502e-18    3.547786e-13    2.653154e-10    2.280460e-07    1.718885e-05    1.823500e-03    2.091536e-23    3.971321e-17    6.966795e-14    1.666964e-10    4.109671e-08    1.296829e-05    5.888131e-04    3.329552e-02    2.702236e-24    7.623977e-20    1.283413e-15    1.137791e-12    1.204776e-09    1.595385e-07    2.796653e-05    8.695216e-21    2.596288e-17    9.200154e-14    3.431763e-11    1.771730e-08
     4    3.824247e-05    1.797295e-02    1.986302e-05    8.068686e-04    3.046013e-07    7.299392e-10    3.873853e-10    4.073667e-14    6.112201e-04    4.753532e-14    1.706872e-13    4.334733e-18    6.023240e-13    2.077204e-26    3.198413e-16    4.634127e-13    3.141315e-10    2.371611e-11    6.218873e-17    5.225897e-14    3.105260e-11    2.984977e-22    3.321938e-17    5.905937e-11    3.386321e-12    4.636622e-12    3.958619e-18    1.830016e-16    1.027529e-13    2.171388e-24    4.796641e-20    2.103485e-13    1.005403e-12    6.878165e-11    3.041539e-19    5.200928e-16    4.086778e-12    2.557650e-24    5.103321e-19    1.643950e-12    1.646647e-11    3.295465e-09    1.488137e-18    4.025886e-15    2.470674e-16    1.034909e-10    1.122292e-23    3.895177e-18    2.370377e-11    7.933486e-10    1.799890e-07    4.339833e-07    4.962026e-06    2.351774e-17    8.343937e-14    4.371818e-10    9.028312e-09    5.660974e-07    7.296082e-23    5.902120e-18    2.744651e-12    2.236800e-10    1.087936e-07    4.710181e-07    1.642477e-05    2.353224e-18    1.195249e-14    9.869571e-11    2.968242e-09    4.713572e-07    6.341861e-24    5.754069e-19    2.119178e-13    2.112869e-11    1.922932e-08    9.094464e-08    2.399682e-06    9.180866e-20    1.036857e-15    1.657303e-11    3.660594e-10    3.054255e-08    1.874177e-25    3.675622e-20    2.638149e-14    2.401187e-12    1.073487e-09    5.670559e-08    5.819004e-21    1.787455e-17    2.772337e-13    6.399765e-11    6.542893e-08    1.853051e-22    3.158385e-16    3.198725e-13    1.205903e-09    2.166616e-07    9.936176e-05    1.901923e-22    4.746031e-18    3.460992e-13    2.827841e-10    4.613469e-07    4.916649e-05    1.721541e-02    7.739012e-23    1.639166e-16    4.400190e-13    2.893126e-09    7.931464e-07    6.232530e-04    1.603105e-02    5.931690e-01    1.150964e-22    5.730213e-18    5.157477e-13    6.087684e-10    1.457160e-06    1.354015e-04    1.570868e-02    7.708219e-23    1.034372e-16    3.492713e-13    3.089064e-09    8.823490e-07    3.884910e-04    9.053673e-03    3.103036e-01    2.286402e-23    3.067475e-18    3.552371e-13    2.655854e-10    2.282626e-07    1.719870e-05    1.824159e-03    2.093510e-23    3.977381e-17    6.975802e-14    1.669078e-10    4.113581e-08    1.297940e-05    5.890490e-04    3.330255e-02    2.704764e-24    7.631071e-20    1.284747e-15    1.138734e-12    1.205703e-09    1.596083e-07    2.797387e-05    8.704281e-21    2.598431e-17    9.208484e-14    3.433768e-11    1.772707e-08
     5    7.656932e-05    6.617585e-02    3.832685e-05    8.046816e-04    3.053159e-07    7.293613e-10    3.860806e-10    4.080067e-14    6.118015e-04    4.751614e-14    1.702032e-13    4.343258e-18    6.010611e-13    2.084634e-26    3.199672e-16    4.627287e-13    3.148561e-10    2.370515e-11    6.244638e-17    5.237041e-14    3.105871e-11    3.003949e-22    3.337634e-17    5.926188e-11    3.388154e-12    4.628480e-12    3.978634e-18    1.835253e-16    1.028106e-13    2.186923e-24    4.821433e-20    2.112185e-13    1.007120e-12    6.872946e-11    3.060115e-19    5.220532e-16    4.095224e-12    2.578209e-24    5.136654e-19    1.653204e-12    1.651217e-11    3.298378e-09    1.498667e-18    4.047134e-15    2.483634e-16    1.038594e-10    1.132853e-23    3.925983e-18    2.385958e-11    7.968851e-10    1.804354e-07    4.339463e-07    4.950622e-06    2.372120e-17    8.400063e-14    4.393473e-10    9.051364e-09    5.663624e-07    7.374844e-23    5.955629e-18    2.765940e-12    2.249055e-10    1.091890e-07    4.715429e-07    1.640918e-05    2.375780e-18    1.204468e-14    9.928694e-11    2.979096e-09    4.721415e-07    6.416482e-24    5.811775e-19    2.137586e-13    2.126441e-11    1.931932e-08    9.113721e-08    2.399577e-06    9.276701e-20    1.045905e-15    1.669031e-11    3.677534e-10    3.061772e-08    1.897874e-25    3.716163e-20    2.663824e-14    2.419016e-12    1.079412e-09    5.688732e-08    5.885179e-21    1.804375e-17    2.793736e-13    6.435491e-11    6.567152e-08    1.874635e-22    3.191087e-16    3.225221e-13    1.213959e-09    2.176325e-07    9.961705e-05    1.925222e-22    4.795996e-18    3.492022e-13    2.847458e-10    4.636914e-07    4.931011e-05    1.723286e-02    7.837952e-23    1.658197e-16    4.442556e-13    2.915991e-09    7.976976e-07    6.256825e-04    1.605614e-02    5.928458e-01    1.166492e-22    5.797573e-18    5.210153e-13    6.137490e-10    1.466499e-06    1.359649e-04    1.574213e-02    7.816340e-23    1.047577e-16    3.530318e-13    3.117162e-09    8.884691e-07    3.904331e-04    9.077658e-03    3.104652e-01    2.319787e-23    3.107033e-18    3.593007e-13    2.680528e-10    2.299487e-07    1.728688e-05    1.829750e-03    2.125189e-23    4.032967e-17    7.058604e-14    1.685788e-10    4.145734e-08    1.305576e-05    5.911325e-04    3.335262e-02    2.746830e-24    7.735692e-20    1.300168e-15    1.150039e-12    1.215387e-09    1.605378e-07    2.808025e-05    8.828492e-21    2.630085e-17    9.304665e-14    3.462075e-11    1.784021e-08
     6    1.504984e-04    3.842593e-02    7.392910e-05    8.032781e-04    3.051608e-07    7.273662e-10    3.845684e-10    4.068263e-14    6.115735e-04    4.733327e-14    1.693937e-13    4.325950e-18    5.984919e-13    2.073080e-26    3.186301e-16    4.608755e-13    3.143884e-10    2.363366e-11    6.228238e-17    5.222886e-14    3.097536e-11    2.994759e-22    3.329490e-17    5.919156e-11    3.378208e-12    4.611328e-12    3.967869e-18    1.829287e-16    1.024696e-13    2.179412e-24    4.805865e-20    2.108691e-13    1.004440e-12    6.852931e-11    3.051985e-19    5.206466e-16    4.085991e-12    2.570441e-24    5.124684e-19    1.651883e-12    1.648333e-11    3.292752e-09    1.495765e-18    4.040234e-15    2.479252e-16    1.037354e-10    1.130322e-23    3.920107e-18    2.386250e-11    7.965105e-10    1.803511e-07    4.332748e-07    4.940856e-06    2.370071e-17    8.393802e-14    4.392080e-10    9.041653e-09    5.656453e-07    7.364566e-23    5.950760e-18    2.766903e-12    2.248543e-10    1.091871e-07    4.710673e-07    1.638971e-05    2.373901e-18    1.203725e-14    9.927814e-11    2.976865e-09    4.717854e-07    6.408244e-24    5.807157e-19    2.138446e-13    2.126127e-11    1.932379e-08    9.105716e-08    2.396583e-06    9.268496e-20    1.045454e-15    1.669360e-11    3.675085e-10    3.058759e-08    1.895296e-25    3.713721e-20    2.665511e-14    2.418998e-12    1.079470e-09    5.685334e-08    5.880130e-21    1.802947e-17    2.792730e-13    6.431636e-11    6.564174e-08    1.872291e-22    3.191380e-16    3.224863e-13    1.214568e-09    2.176465e-07    9.963273e-05    1.923368e-22    4.793297e-18    3.492754e-13    2.847741e-10    4.638338e-07    4.930684e-05    1.723334e-02    7.830758e-23    1.659158e-16    4.445065e-13    2.918985e-09    7.982206e-07    6.262379e-04    1.605908e-02    5.927813e-01    1.165922e-22    5.797370e-18    5.214199e-13    6.141563e-10    1.468012e-06    1.360328e-04    1.574786e-02    7.813436e-23    1.048593e-16    3.533596e-13    3.121825e-09    8.894811e-07    3.908989e-04    9.081850e-03    3.105081e-01    2.319366e-23    3.108064e-18    3.597695e-13    2.683151e-10    2.302024e-07    1.729645e-05    1.830418e-03    2.125031e-23    4.038877e-17    7.067286e-14    1.688230e-10    4.150004e-08    1.307005e-05    5.913535e-04    3.336039e-02    2.746367e-24    7.736406e-20    1.300950e-15    1.150515e-12    1.216063e-09    1.605547e-07    2.808014e-05    8.830780e-21    2.630237e-17    9.309359e-14    3.462339e-11    1.784515e-08
     7    2.930277e-04    1.710932e-01    1.425292e-04    7.994162e-04    3.060166e-07    7.252573e-10    3.818231e-10    4.068921e-14    6.121977e-04    4.718531e-14    1.682099e-13    4.325768e-18    5.950938e-13    2.075293e-26    3.179035e-16    4.587244e-13    3.150462e-10    2.357108e-11    6.251848e-17    5.228322e-14    3.092759e-11    3.014134e-22    3.345131e-17    5.941650e-11    3.373987e-12    4.589025e-12    3.987559e-18    1.832317e-16    1.023187e-13    2.195307e-24    4.828756e-20    2.118045e-13    1.004948e-12    6.832579e-11    3.071563e-19    5.223382e-16    4.091141e-12    2.592978e-24    5.161598e-19    1.663490e-12    1.652541e-11    3.292887e-09    1.508036e-18    4.064244e-15    2.493779e-16    1.041482e-10    1.142917e-23    3.957824e-18    2.407526e-11    8.010284e-10    1.808951e-07    4.327751e-07    4.919091e-06    2.396258e-17    8.465474e-14    4.420375e-10    9.066132e-09    5.655197e-07    7.464552e-23    6.020020e-18    2.796411e-12    2.264754e-10    1.097187e-07    4.714523e-07    1.635576e-05    2.403233e-18    1.215705e-14    1.000715e-10    2.989987e-09    4.725999e-07    6.504111e-24    5.882368e-19    2.164009e-13    2.144273e-11    1.944831e-08    9.126224e-08    2.394433e-06    9.393089e-20    1.057417e-15    1.685464e-11    3.696287e-10    3.066846e-08    1.925795e-25    3.767174e-20    2.701550e-14    2.443134e-12    1.087516e-09    5.707519e-08    5.966680e-21    1.824935e-17    2.821035e-13    6.477291e-11    6.594865e-08    1.900047e-22    3.236034e-16    3.260543e-13    1.225886e-09    2.189664e-07    9.998701e-05    1.953816e-22    4.859354e-18    3.535365e-13    2.874491e-10    4.670974e-07    4.949809e-05    1.725709e-02    7.960606e-23    1.685733e-16    4.504334e-13    2.952034e-09    8.047299e-07    6.298918e-04    1.609479e-02    5.923035e-01    1.186707e-22    5.888938e-18    5.288591e-13    6.211891e-10    1.481683e-06    1.368391e-04    1.579674e-02    7.958999e-23    1.067304e-16    3.587012e-13    3.163183e-09    8.984607e-07    3.938395e-04    9.116988e-03    3.107538e-01    2.364677e-23    3.162716e-18    3.656265e-13    2.718462e-10    2.326606e-07    1.742211e-05    1.838405e-03    2.168223e-23    4.118903e-17    7.186092e-14    1.712627e-10    4.196520e-08    1.318308e-05    5.943133e-04    3.343300e-02    2.803572e-24    7.879688e-20    1.322499e-15    1.166205e-12    1.229658e-09    1.618234e-07    2.822361e-05    9.002015e-21    2.673469e-17    9.443387e-14    3.500912e-11    1.800165e-08
     8    5.675936e-04    7.046272e-02    2.745660e-04    7.949173e-04    3.062347e-07    7.208471e-10    3.778606e-10    4.050348e-14    6.121306e-04    4.680974e-14    1.662576e-13    4.298096e-18    5.890843e-13    2.058277e-26    3.153638e-16    4.545530e-13    3.146558e-10    2.342074e-11    6.239038e-17    5.208691e-14    3.076625e-11    3.010565e-22    3.341018e-17    5.942990e-11    3.355643e-12    4.548973e-12    3.981624e-18    1.824508e-16    1.016866e-13    2.192464e-24    4.817042e-20    2.117768e-13    1.000933e-12    6.788818e-11    3.069800e-19    5.210509e-16    4.079191e-12    2.593551e-24    5.163662e-19    1.667988e-12    1.650263e-11    3.283783e-09    1.510437e-18    4.066901e-15    2.495056e-16    1.041821e-10    1.146146e-23    3.970146e-18    2.420171e-11    8.029861e-10    1.810601e-07    4.313904e-07    4.890813e-06    2.408092e-17    8.496599e-14    4.434257e-10    9.064232e-09    5.642712e-07    7.506118e-23    6.052284e-18    2.814975e-12    2.273204e-10    1.100154e-07    4.708860e-07    1.630419e-05    2.417231e-18    1.221431e-14    1.005128e-10    2.993868e-09    4.724762e-07    6.546737e-24    5.918667e-19    2.180213e-13    2.154223e-11    1.952652e-08    9.124847e-08    2.388322e-06    9.452472e-20    1.063633e-15    1.695300e-11    3.704538e-10    3.066613e-08    1.939481e-25    3.794445e-20    2.725259e-14    2.457088e-12    1.092239e-09    5.714731e-08    6.009151e-21    1.835454e-17    2.835868e-13    6.497514e-11    6.607718e-08    1.912532e-22    3.262607e-16    3.280758e-13    1.233423e-09    2.197500e-07    1.002143e-04    1.968679e-22    4.893618e-18    3.561394e-13    2.890498e-10    4.692153e-07    4.960297e-05    1.727124e-02    8.025184e-23    1.702862e-16    4.543029e-13    2.976125e-09    8.093516e-07    6.328946e-04    1.611999e-02    5.919192e-01    1.198006e-22    5.942357e-18    5.338711e-13    6.259554e-10    1.492083e-06    1.374166e-04    1.583421e-02    8.040028e-23    1.079962e-16    3.623676e-13    3.194948e-09    9.053382e-07    3.963016e-04    9.144179e-03    3.109684e-01    2.390729e-23    3.196586e-18    3.698323e-13    2.743430e-10    2.345099e-07    1.751106e-05    1.844160e-03    2.193495e-23    4.175783e-17    7.270199e-14    1.730934e-10    4.230735e-08    1.327240e-05    5.964106e-04    3.348882e-02    2.836681e-24    7.965554e-20    1.336490e-15    1.176228e-12    1.238759e-09    1.625993e-07    2.830854e-05    9.107139e-21    2.699290e-17    9.530186e-14    3.524141e-11    1.810214e-08
     9    1.095862e-03    4.379221e-02    5.282687e-04    7.861780e-04    3.078971e-07    7.153489e-10    3.714365e-10    4.044663e-14    6.132342e-04    4.640124e-14    1.634032e-13    4.287576e-18    5.807120e-13    2.056136e-26    3.131015e-16    4.491044e-13    3.157221e-10    2.325039e-11    6.278118e-17    5.211408e-14    3.061843e-11    3.045445e-22    3.368603e-17    5.985234e-11    3.341081e-12    4.493660e-12    4.016102e-18    1.827229e-16    1.011761e-13    2.221174e-24    4.855329e-20    2.135075e-13    1.000385e-12    6.735347e-11    3.105776e-19    5.237131e-16    4.084255e-12    2.636120e-24    5.233616e-19    1.691436e-12    1.657198e-11    3.280591e-09    1.534385e-18    4.112776e-15    2.522682e-16    1.049625e-10    1.171173e-23    4.045905e-18    2.465007e-11    8.121592e-10    1.821288e-07    4.299472e-07    4.840482e-06    2.462115e-17    8.643194e-14    4.492456e-10    9.108883e-09    5.635647e-07    7.712058e-23    6.195735e-18    2.877846e-12    2.306802e-10    1.111176e-07    4.713776e-07    1.622219e-05    2.478218e-18    1.246217e-14    1.021711e-10    3.019777e-09    4.739330e-07    6.745875e-24    6.075416e-19    2.234902e-13    2.192152e-11    1.978921e-08    9.162288e-08    2.382051e-06    9.712142e-20    1.088663e-15    1.729436e-11    3.747313e-10    3.081542e-08    2.003041e-25    3.906791e-20    2.802986e-14    2.507991e-12    1.109136e-09    5.758750e-08    6.190522e-21    1.881191e-17    2.895004e-13    6.590867e-11    6.669847e-08    1.970265e-22    3.357925e-16    3.356058e-13    1.257650e-09    2.225184e-07    1.009591e-04    2.032605e-22    5.032531e-18    3.652268e-13    2.947080e-10    4.761467e-07    4.999899e-05    1.732041e-02    8.298679e-23    1.760359e-16    4.670745e-13    3.048028e-09    8.233676e-07    6.408757e-04    1.619572e-02    5.908871e-01    1.242289e-22    6.138147e-18    5.499981e-13    6.411223e-10    1.521871e-06    1.391467e-04    1.593933e-02    8.351483e-23    1.120855e-16    3.739976e-13    3.285990e-09    9.249617e-07    4.027721e-04    9.220031e-03    3.115043e-01    2.488209e-23    3.314717e-18    3.826932e-13    2.820303e-10    2.398771e-07    1.778130e-05    1.861275e-03    2.286760e-23    4.352604e-17    7.530926e-14    1.784630e-10    4.332136e-08    1.351987e-05    6.027511e-04    3.364529e-02    2.960196e-24    8.274744e-20    1.383252e-15    1.210009e-12    1.268050e-09    1.652867e-07    2.860989e-05    9.478392e-21    2.792182e-17    9.819738e-14    3.606249e-11    1.843620e-08
    10    2.110327e-03    1.013075e-02    1.014465e-03    7.749263e-04    3.092802e-07    7.061298e-10    3.623421e-10    4.016320e-14    6.139340e-04    4.565223e-14    1.591116e-13    4.243925e-18    5.677006e-13    2.031802e-26    3.083288e-16    4.402664e-13    3.158893e-10    2.294627e-11    6.285264e-17    5.186799e-14    3.031284e-11    3.062397e-22    3.380341e-17    6.014106e-11    3.307632e-12    4.407030e-12    4.029581e-18    1.818378e-16    1.000180e-13    2.235196e-24    4.863138e-20    2.145647e-13    9.946665e-13    6.644422e-11    3.125914e-19    5.236245e-16    4.071398e-12    2.663614e-24    5.280434e-19    1.712594e-12    1.658518e-11    3.266576e-09    1.552825e-18    4.145368e-15    2.541853e-16    1.055046e-10    1.191519e-23    4.111092e-18    2.511338e-11    8.207073e-10    1.830432e-07    4.272257e-07    4.772349e-06    2.513128e-17    8.779665e-14    4.548729e-10    9.134784e-09    5.614822e-07    7.902029e-23    6.332490e-18    2.944200e-12    2.339915e-10    1.122309e-07    4.709524e-07    1.610363e-05    2.536821e-18    1.269988e-14    1.038409e-10    3.041508e-09    4.747041e-07    6.933535e-24    6.226610e-19    2.292798e-13    2.230140e-11    2.006505e-08    9.184255e-08    2.370052e-06    9.961589e-20    1.113344e-15    1.764960e-11    3.785676e-10    3.090622e-08    2.063138e-25    4.017230e-20    2.886512e-14    2.559930e-12    1.126430e-09    5.796384e-08    6.366523e-21    1.925053e-17    2.953269e-13    6.677716e-11    6.726616e-08    2.024707e-22    3.456601e-16    3.432299e-13    1.283614e-09    2.253508e-07    1.017416e-04    2.094578e-22    5.169573e-18    3.746958e-13    3.005329e-10    4.834696e-07    5.039146e-05    1.737070e-02    8.565788e-23    1.821826e-16    4.807286e-13    3.127922e-09    8.386959e-07    6.500861e-04    1.627760e-02    5.897298e-01    1.286925e-22    6.339750e-18    5.674616e-13    6.574971e-10    1.555371e-06    1.410344e-04    1.605642e-02    8.668278e-23    1.165470e-16    3.866917e-13    3.389468e-09    9.471010e-07    4.102989e-04    9.304751e-03    3.121207e-01    2.588599e-23    3.439287e-18    3.969999e-13    2.904789e-10    2.458906e-07    1.807473e-05    1.879843e-03    2.383494e-23    4.549726e-17    7.819455e-14    1.845146e-10    4.444748e-08    1.380105e-05    6.095831e-04    3.381686e-02    3.087846e-24    8.596929e-20    1.433254e-15    1.245699e-12    1.299383e-09    1.680447e-07    2.891295e-05    9.869057e-21    2.888393e-17    1.012745e-13    3.690589e-11    1.878554e-08
