    stg    jcma    nmlo     ndv            time           dtime            Mtot            Etot            Jtot            dMdt            frot          dens_c          temp_c           Rsurf           Lsurf            Teff            vrot           [N/H]            Gedd         gam_ave        mach_max            Brad           fconf           fbrak           eta_B       omgs[d-1]       omgc[d-1]            Lnuc             Lnu            Lrad
      1       0       0    1024    0.000000e+00    1.300000e+10    2.000000e+01   -4.998642e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.303000e+02    1.055000e+08    1.721000e+00    4.848000e+04    6.525000e+04    0.000000e+00   -4.579000e+01    2.141000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.669886e-321    1.600000e+38    1.514000e+35    1.856000e+38
      2       0       0    1024    0.000000e+00    1.690000e+10    2.000000e+01   -5.003054e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.307000e+02    1.056000e+08    1.722000e+00    4.870000e+04    6.531000e+04    0.000000e+00   -4.565000e+01    2.145000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.684708e-321    1.508000e+38    7.463000e+34    1.864000e+38
      3       0       0    1024    0.000000e+00    2.197000e+10    2.000000e+01   -5.009133e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.313000e+02    1.057000e+08    1.722000e+00    4.892000e+04    6.539000e+04    0.000000e+00   -4.554000e+01    2.150000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.704471e-321    1.495000e+38    4.980000e+34    1.873000e+38
      4       0       0    1024    0.000000e+00    2.856100e+10    2.000000e+01   -5.017102e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.320000e+02    1.059000e+08    1.720000e+00    4.907000e+04    6.547000e+04    0.000000e+00   -4.545000e+01    2.152000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.739055e-321    1.497000e+38    4.127000e+34    1.878000e+38
      5       0       0    1024    0.000000e+00    3.712930e+10    2.000000e+01   -5.027253e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.330000e+02    1.061000e+08    1.718000e+00    4.916000e+04    6.554000e+04    0.000000e+00   -4.538000e+01    2.153000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.773640e-321    1.508000e+38    4.002000e+34    1.882000e+38
      6       0       0    1024    0.000000e+00    4.826809e+10    2.000000e+01   -5.039917e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.341000e+02    1.064000e+08    1.715000e+00    4.924000e+04    6.563000e+04    0.000000e+00   -4.532000e+01    2.154000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.818106e-321    1.525000e+38    4.455000e+34    1.885000e+38
      7       0       0    1024    0.000000e+00    6.274852e+10    2.000000e+01   -5.055408e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.355000e+02    1.067000e+08    1.711000e+00    4.935000e+04    6.574000e+04    0.000000e+00   -4.527000e+01    2.155000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.882334e-321    1.549000e+38    5.584000e+34    1.889000e+38
      8       0       0    1024    0.000000e+00    8.157307e+10    2.000000e+01   -5.073853e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.372000e+02    1.071000e+08    1.707000e+00    4.949000e+04    6.587000e+04    0.000000e+00   -4.522000e+01    2.157000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   6.946563e-321    1.582000e+38    7.724000e+34    1.895000e+38
      9       0       0    1024    0.000000e+00    1.060450e+11    2.000000e+01   -5.094884e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.390000e+02    1.076000e+08    1.701000e+00    4.965000e+04    6.603000e+04    0.000000e+00   -4.518000e+01    2.158000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   7.025613e-321    1.624000e+38    1.157000e+35    1.900000e+38
     10       0       0    1024    0.000000e+00    1.378585e+11    2.000000e+01   -5.117028e+50    0.000000e+00    0.000000e+00    0.000000e+00    1.409000e+02    1.081000e+08    1.695000e+00    4.976000e+04    6.619000e+04    0.000000e+00   -4.514000e+01    2.159000e-01    1.558000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00    0.000000e+00   7.109605e-321    1.677000e+38    1.842000e+35    1.905000e+38
