																																				
Z=  	0.0000																																			
M   	0.9	1.0	1.2	1.5	1.8	1.9	2.0	2.2	2.5	3.0	3.5	4.0	4.5	5.0	5.5	6.0	6.5	7.0	8.0	10.0	11.0	13.0	15.0	18.0	20.0	25.0	30.0	40.0	100.0	140.0	140.0	150.0	170.0	200.0	270.0	300.0
E   	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	9	16	28	44	49	50
Mrem	0.798	0.843	0.902	0.962	1.021	1.056	1.080	1.085	1.090	1.101	1.103	1.105	1.107	1.109	1.110	1.112	1.114	1.116	1.120	1.150	1.500	1.570	1.480	1.650	1.660	1.920	2.070	2.890	10.430	13.199	0.000	0.000	0.000	0.000	0.000	0.000
H   1	6.9896E-02	1.0357E-01	2.2939E-01	3.5521E-01	4.8104E-01	5.5653E-01	6.0685E-01	7.453E-01	8.7408E-01	1.1027E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	5.8042E+00	6.5948E+00	7.5791E+00	8.4311E+00	8.7742E+00	1.0639E+01	1.1693E+01	1.4028E+01	2.6807E+01	3.15E+01	3.3277E+01	3.5654E+01	4.081E+01	3.725E+01	6.582E+01	7.585E+01
H   2	1.3781E-05	1.4395E-05	2.3915E-05	2.4692E-05	1.6727E-05	7.751E-06	1.861E-08	1.767E-08	1.4256E-08	6.3471E-18	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	1.8923E-16	1.4917E-16	1.693E-16	1.2831E-16	8.6589E-17	2.0198E-16	1.343E-16	3.461E-16	1.0105E-15	1.2545E-15	2.6613E-16	2.8514E-16	3.667E-05	2.038E-16	1.838E-13	2.4826E-13
He  3	8.1778E-06	2.5188E-05	4.1868E-05	4.3276E-05	2.941E-05	1.376E-05	2.7165E-07	2.6131E-07	2.1625E-07	2.1992E-08	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	3.9043E-05	4.1189E-05	4.0865E-05	3.3301E-05	4.7561E-05	2.1065E-04	2.0619E-04	2.5648E-05	1.5186E-05	1.1344E-05	2.5439E-05	2.7256E-05	1.122E-04	3.183E-05	3.955E-05	4.226E-05
He  4	3.1337E-02	5.1733E-02	1.1521E-01	1.7937E-01	2.4422E-01	2.8345E-01	3.0975E-01	4.1251E-01	5.2382E-01	7.7212E-01	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	3.4276E+00	4.0136E+00	4.4008E+00	5.4219E+00	5.9363E+00	8.0268E+00	9.5219E+00	1.1893E+01	3.079E+01	3.7729E+01	3.8927E+01	4.1708E+01	4.795E+01	4.903E+01	7.901E+01	8.9535E+01
Li  6	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	2.3047E-19	3.6536E-23	1.111E-22	4.3739E-23	3.6517E-21	2.6853E-21	1.1331E-22	7.5354E-22	1.8305E-19	2.4999E-19	1.7782E-19	1.9052E-19	3.928E-15	1.583E-20	9.328E-18	1.2597E-17
Li  7	7.4702E-11	1.9836E-10	3.6856E-10	4.611E-10	4.7597E-10	4.4761E-10	4.1317E-10	4.0654E-10	3.5094E-10	9.2799E-11	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	5.9255E-10	2.1747E-10	2.9423E-10	7.341E-11	2.7861E-10	5.6774E-09	2.36E-08	3.7587E-11	4.155E-10	5.5427E-10	2.7698E-10	2.9676E-10	5.766E-09	5.789E-10	5.522E-09	7.2574E-09
Be  9	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	0E+00	3.3171E-23	1.7735E-20	3.2153E-22	1.0538E-22	4.4857E-23	1.2403E-17	1.2594E-20	5.3272E-20	4.4509E-18	6.0658E-18	8.1777E-22	8.7618E-22	1.291E-14	2.838E-18	4.396E-21	0E+00
